"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 01","116,700","106,300","121,100","106,000","3.59M","7.46%"
"2023- 05- 01","108,600","90,900","113,400","85,000","7.84M","21.34%"
"2023- 04- 01","89,500","89,700","92,500","82,700","76.75M","1.02%"
"2023- 03- 01","88,600","89,400","90,700","76,700","69.88M","-0.89%"
"2023- 02- 01","89,400","91,200","95,000","88,500","49.55M","1.02%"
"2023- 01- 01","88,500","75,100","92,800","73,100","55.80M","18.00%"
"2022- 12- 01","75,000","87,300","87,300","74,700","49.74M","-11.76%"
"2022- 11- 01","85,000","82,700","95,300","81,400","57.79M","2.78%"
"2022- 10- 01","82,700","85,200","96,600","82,400","71.97M","-0.48%"
"2022- 09- 01","83,100","93,900","95,200","80,400","51.30M","-12.71%"
"2022- 08- 01","95,200","97,200","98,700","91,800","51.90M","-2.76%"
"2022- 07- 01","97,900","91,000","104,500","86,300","67.12M","7.58%"
"2022- 06- 01","91,000","106,000","108,500","89,700","62.54M","-15.74%"
"2022- 05- 01","108,000","110,000","115,000","101,500","73.03M","-4.00%"
"2022- 04- 01","112,500","117,000","118,000","106,500","66.75M","-4.66%"
"2022- 03- 01","118,000","124,500","129,500","112,000","80.29M","-4.45%"
"2022- 02- 01","123,500","124,500","134,000","119,500","78.37M","2.49%"
"2022- 01- 01","120,500","132,000","132,500","111,000","88.53M","-8.02%"
"2021- 12- 01","131,000","114,500","133,500","112,000","85.22M","14.91%"
"2021- 11- 01","114,000","103,500","122,500","102,500","78.54M","10.68%"
"2021- 10- 01","103,000","102,000","108,500","90,500","59.00M","0.00%"
"2021- 09- 01","103,000","106,000","108,500","99,600","55.85M","-3.29%"
"2021- 08- 01","106,500","113,500","123,000","98,900","122.58M","-5.33%"
"2021- 07- 01","112,500","127,500","128,000","112,500","59.70M","-11.76%"
"2021- 06- 01","127,500","127,000","130,000","120,500","65.82M","0.39%"
"2021- 05- 01","127,000","127,500","132,500","115,500","77.67M","-0.78%"
"2021- 04- 01","128,000","138,000","147,000","126,500","74.72M","-3.40%"
"2021- 03- 01","132,500","149,000","150,500","130,500","104.17M","-6.36%"
"2021- 02- 01","141,500","121,000","149,500","118,000","100.84M","15.51%"
"2021- 01- 01","122,500","124,500","140,000","120,500","126.19M","3.38%"
"2020- 12- 01","118,500","98,600","121,000","97,800","95.87M","21.54%"
"2020- 11- 01","97,500","80,200","102,000","79,200","73.81M","22.03%"
"2020- 10- 01","79,900","83,000","90,900","79,900","60.41M","-4.88%"
"2020- 09- 01","84,000","75,200","85,900","74,900","84.38M","11.85%"
"2020- 08- 01","75,100","82,400","82,600","71,300","86.92M","-9.30%"
"2020- 07- 01","82,800","86,800","87,300","82,000","72.40M","-2.70%"
"2020- 06- 01","85,100","82,100","93,000","82,000","90.45M","4.42%"
"2020- 05- 01","81,500","82,900","86,500","79,200","82.54M","-2.63%"
"2020- 04- 01","83,700","82,100","86,700","76,500","90.09M","0.48%"
"2020- 03- 01","83,300","90,000","95,900","65,800","146.64M","-5.23%"
"2020- 02- 01","87,900","91,800","106,000","87,700","64.18M","-5.99%"
"2020- 01- 01","93,500","96,000","103,500","92,800","58.57M","-0.64%"
"2019- 12- 01","94,100","80,900","97,000","76,800","59.49M","16.32%"
"2019- 11- 01","80,900","82,300","86,500","80,500","44.88M","-1.34%"
"2019- 10- 01","82,000","81,800","84,000","77,100","50.16M","-0.24%"
"2019- 09- 01","82,200","77,000","84,600","76,300","46.03M","6.20%"
"2019- 08- 01","77,400","75,300","78,700","71,500","52.22M","0.65%"
"2019- 07- 01","76,900","71,000","80,700","66,200","68.35M","10.65%"
"2019- 06- 01","69,500","65,200","71,600","62,400","63.98M","6.43%"
"2019- 05- 01","65,300","79,700","81,300","64,700","76.76M","-17.34%"
"2019- 04- 01","79,000","75,600","82,400","75,500","66.66M","6.47%"
"2019- 03- 01","74,200","70,300","78,900","65,900","73.92M","6.00%"
"2019- 02- 01","70,000","75,400","78,200","69,900","54.10M","-5.28%"
"2019- 01- 01","73,900","61,300","77,100","56,700","81.97M","22.15%"
"2018- 12- 01","60,500","71,000","71,100","58,100","58.39M","-13.07%"
"2018- 11- 01","69,600","68,900","74,500","66,100","67.20M","2.05%"
"2018- 10- 01","68,200","74,300","74,600","62,900","84.40M","-6.70%"
"2018- 09- 01","73,100","82,200","82,800","73,100","68.26M","-11.93%"
"2018- 08- 01","83,000","85,900","86,400","72,500","80.48M","-3.82%"
"2018- 07- 01","86,300","85,000","91,200","78,600","69.34M","0.70%"
"2018- 06- 01","85,700","90,800","92,700","82,300","67.95M","-8.24%"
"2018- 05- 01","93,400","85,900","97,700","82,600","68.11M","10.53%"
"2018- 04- 01","84,500","81,700","88,800","78,700","83.19M","3.94%"
"2018- 03- 01","81,300","76,300","91,500","75,900","99.21M","5.86%"
"2018- 02- 01","76,800","74,900","79,500","68,200","69.70M","4.49%"
"2018- 01- 01","73,500","77,300","80,000","70,700","99.61M","-3.92%"
"2017- 12- 01","76,500","77,200","81,600","74,000","78.35M","-0.39%"
"2017- 11- 01","76,800","86,000","87,700","76,800","89.92M","-6.57%"
"2017- 10- 01","82,200","86,300","90,300","76,500","104.27M","-0.84%"
"2017- 09- 01","82,900","69,000","86,300","66,600","92.74M","20.85%"
"2017- 08- 01","68,600","65,300","69,300","61,400","79.28M","3.94%"
"2017- 07- 01","66,000","66,500","73,000","63,700","84.04M","-2.08%"
"2017- 06- 01","67,400","56,700","69,600","55,400","83.59M","18.25%"
"2017- 05- 01","57,000","55,300","58,800","53,400","55.44M","5.56%"
"2017- 04- 01","54,000","50,800","54,700","48,400","56.93M","6.93%"
"2017- 03- 01","50,500","46,850","52,200","46,550","91.36M","8.14%"
"2017- 02- 01","46,700","54,300","54,900","45,650","95.11M","-13.04%"
"2017- 01- 01","53,700","44,750","54,500","44,600","65.08M","20.13%"
"2016- 12- 01","44,700","43,000","46,750","43,000","46.84M","4.20%"
"2016- 11- 01","42,900","41,700","43,900","38,700","55.86M","4.63%"
"2016- 10- 01","41,000","41,500","43,600","38,850","66.49M","1.99%"
"2016- 09- 01","40,200","36,400","42,000","35,700","57.22M","10.29%"
"2016- 08- 01","36,450","34,700","36,950","32,900","56.65M","5.96%"
"2016- 07- 01","34,400","31,800","34,400","30,300","67.13M","6.17%"
"2016- 06- 01","32,400","28,850","33,100","27,400","99.77M","12.89%"
"2016- 05- 01","28,700","27,950","29,400","25,650","61.40M","1.95%"
"2016- 04- 01","28,150","28,450","29,750","26,750","68.06M","0.00%"
"2016- 03- 01","28,150","31,050","32,250","28,000","62.63M","-6.17%"
"2016- 02- 01","30,000","28,100","31,500","26,850","49.94M","9.89%"
"2016- 01- 01","27,300","30,550","31,200","25,800","68.19M","-11.22%"
"2015- 12- 01","30,750","31,650","33,150","28,550","58.77M","-2.69%"
"2015- 11- 01","31,600","30,700","34,150","30,050","76.61M","2.93%"
"2015- 10- 01","30,700","33,750","38,100","30,450","90.05M","-8.49%"
"2015- 09- 01","33,550","35,150","36,500","33,350","64.44M","-6.28%"
"2015- 08- 01","35,800","36,500","38,300","30,300","102.72M","-3.50%"
"2015- 07- 01","37,100","42,800","43,200","34,050","104.34M","-12.29%"
"2015- 06- 01","42,300","50,600","51,700","40,600","68.26M","-17.22%"
"2015- 05- 01","51,100","46,500","51,300","44,400","48.26M","10.73%"
"2015- 04- 01","46,150","45,950","47,500","41,550","71.83M","1.32%"
"2015- 03- 01","45,550","46,850","48,350","43,100","65.54M","-2.25%"
"2015- 02- 01","46,600","47,300","47,900","45,000","39.49M","-2.20%"
"2015- 01- 01","47,650","47,950","51,400","46,700","52.23M","-0.21%"
"2014- 12- 01","47,750","48,050","49,950","45,900","33.18M","-0.62%"
"2014- 11- 01","48,050","48,000","49,350","45,700","38.15M","1.26%"
"2014- 10- 01","47,450","46,750","47,850","40,300","63.21M","1.50%"
"2014- 09- 01","46,750","45,700","47,450","41,700","59.33M","2.97%"
"2014- 08- 01","45,400","44,100","48,300","43,050","74.16M","-0.11%"
"2014- 07- 01","45,450","49,450","52,400","44,400","82.20M","-6.39%"
"2014- 06- 01","48,550","44,200","50,900","44,000","60.63M","9.97%"
"2014- 05- 01","44,150","41,200","44,150","40,250","45.91M","9.96%"
"2014- 04- 01","40,150","36,650","41,350","36,500","68.16M","11.53%"
"2014- 03- 01","36,000","38,300","39,600","35,550","65.87M","-7.10%"
"2014- 02- 01","38,750","37,500","40,200","36,000","68.60M","2.38%"
"2014- 01- 01","37,850","37,100","39,250","35,000","95.71M","2.85%"
"2013- 12- 01","36,800","35,650","37,550","34,200","79.30M","3.95%"
"2013- 11- 01","35,400","32,150","35,900","31,350","73.57M","10.80%"
"2013- 10- 01","31,950","30,200","35,000","29,800","113.37M","5.62%"
"2013- 09- 01","30,250","28,500","30,850","26,850","109.95M","7.08%"
"2013- 08- 01","28,250","27,250","29,200","26,000","105.51M","3.86%"
"2013- 07- 01","27,200","30,950","31,850","26,600","157.96M","-12.82%"
"2013- 06- 01","31,200","31,950","32,950","28,900","90.30M","-3.11%"
"2013- 05- 01","32,200","29,750","32,200","28,400","89.21M","7.69%"
"2013- 04- 01","29,900","28,900","30,000","27,300","80.19M","4.00%"
